Name,Country,Type,Lat,Lon,Altitude
Eyjafj ll,Iceland-S,Stratovolcano,63.63,-19.62,1666
Falcon Island,Tonga-SW Pacific,Submarine volcano,-20.32,-175.42,-17
Falso Azufre,Chile-N,Complex volcano,-26.8,-68.37,5890
Farallon de Pajaros,Mariana Is-C Pacific,Stratovolcano,20.54,144.9,360
Fayal,Azores,Stratovolcano,38.6,-28.73,1043
Fedotych,Kamchatka,Shield volcano,57.13,160.4,965
Fentale,Ethiopia,Stratovolcano,8.98,39.93,2007
Fernandina,Gal pagos,Shield volcano,-0.37,-91.55,1476
Fisher,Aleutian Is,Stratovolcano,54.65,-164.43,1112
Flores,Guatemala,Volcanic field,14.31,-89.99,1600
Flores,Azores,Stratovolcanoes,39.46,-31.22,914
Fogo,Cape Verde Is,Stratovolcano,14.95,-24.35,2829
Fonualei,Tonga-SW Pacific,Stratovolcano,-18.02,-174.33,180
Forecast Seamount,Mariana Is-C Pacific,Submarine volcano,13.4,143.92,
Fort Portal Field,Africa-C,Tuff cones,0.7,30.25,1524
Fort Rock,US-Oregon,Tuff cones,43.3,-121,1716
Fort Selkirk,Canada,Volcanic field,62.93,-137.38,1239
Four Craters Lava Field,US-Oregon,Volcanic field,43.36,-120.67,1501
"Fournaise, Piton de la",Indian O.-W,Shield volcano,-21.23,55.71,2632
Fourpeaked,Alaska Peninsula,Stratovolcano,58.77,-153.67,2105
Fremrinamur,Iceland-NE,Stratovolcano,65.43,-16.65,939
Frosty,Alaska Peninsula,Stratovolcanoes,55.08,-162.81,2012
Fuego,Guatemala,Stratovolcano,14.47,-90.88,3763
Fueguino,Chile-S,Lava domes,-54.95,-70.25,150
Fuerteventura,Canary Is,Fissure vents,28.36,-14.02,529
Fuji,Honshu-Japan,Stratovolcano,35.36,138.73,3776
Fukue-jima,Kyushu-Japan,Shield volcanoes,32.65,128.85,317
Fukujin,Volcano Is-Japan,Submarine volcano,21.93,143.47,-217
Fukutoku-Okanoba,Volcano Is-Japan,Submarine volcano,24.28,141.49,-14
Furnas,Azores,Stratovolcano,37.77,-25.32,805
Fuss Peak,Kuril Is,Stratovolcano,50.27,155.25,1772
Gabillema,Ethiopia,Stratovolcano,11.08,41.27,1459
Gada Ale,Ethiopia,Stratovolcano,13.98,40.41,287
Gaja-jima,Ryukyu Is,Stratovolcano,29.9,129.54,497
Gal pagos Rift,Pacific-E,Submarine volcano,0.79,-86.15,-2430
Galeras,Colombia,Complex volcano,1.22,-77.37,4276
Gallego,Solomon Is-SW Pacific,Volcanic field,-9.35,159.73,1000
Galunggung,Java,Stratovolcano,-7.25,108.06,2168
Gamalama,Halmahera-Indonesia,Stratovolcanoes,0.8,127.33,1715
Gamchen,Kamchatka,Complex volcano,54.97,160.7,2576
Gamkonora,Halmahera-Indonesia,Stratovolcano,1.38,127.53,1635
Garbuna Group,New Britain-SW Pac,Stratovolcanoes,-5.45,150.03,564
Gareloi,Aleutian Is,Stratovolcano,51.79,-178.79,1573
Garibaldi,Canada,Stratovolcano,49.85,-123,2678
Garibaldi Lake,Canada,Volcanic field,49.92,-123.03,2316
Garove,New Britain-SW Pac,Stratovolcano,-4.69,149.5,368
Garua Harbour,New Britain-SW Pac,Volcanic field,-5.3,150.07,565
Gaua,Vanuatu-SW Pacific,Stratovolcano,-14.27,167.5,797
Gedamsa Caldera,Ethiopia,Caldera,8.35,39.18,1984
Gede,Java,Stratovolcano,-6.78,106.98,2958
Genovesa,Gal pagos,Shield volcano,0.32,-89.96,64
Geodesistoy,Kamchatka,Shield volcano,56.33,158.67,1170
Ghegam Ridge,Armenia,Volcanic field,40.28,44.75,3597
Giggenbach,Kermadec Is,Submarine volcano,-30.04,-178.71,-65
Girekol,Turkey,Unknown,39.17,43.33,
Glacier Peak,US-Washington,Stratovolcano,48.11,-121.11,3213
"Gloria, La",Mexico,Volcanic field,19.33,-97.25,3500
Golan Heights,Syria,Volcanic field,33.1,35.97,1197
Golaya,Kamchatka,Stratovolcano,52.26,157.79,858
Golden Trout Creek,US-California,Volcanic field,36.36,-118.32,2886
Golets-Tornyi Group,Kuril Is,Pyroclastic cones,45.25,148.35,442
G ll  Dag,Turkey,Lava dome,38.25,34.57,2143
Golovnin,Kuril Is,Caldera,43.84,145.51,543
Goodenough,D'Entrecasteaux Is,Volcanic field,-9.48,150.35,220
Gordon,Alaska-E,Cinder cones,62.13,-143.08,2755
Gorely,Kamchatka,Caldera,52.56,158.03,1829
Goriaschaia Sopka,Kuril Is,Stratovolcano,46.83,151.75,891
Gorny Institute,Kamchatka,Stratovolcano,57.33,160.2,2125
Graciosa,Azores,Stratovolcano,39.02,-27.97,402
Gran Canaria,Canary Is,Fissure vents,28,-15.58,1950
Granada,Nicaragua,Fissure vents,11.92,-85.98,300
Great Sitkin,Aleutian Is,Stratovolcano,52.08,-176.13,1740
Griggs,Alaska Peninsula,Stratovolcano,58.35,-155.09,2317
"Grille, La",Indian O.-W,Shield volcano,-11.47,43.33,1087
Gr msnes,Iceland-SW,Crater rows,64.03,-20.87,214
Gr msv tn,Iceland-NE,Caldera,64.42,-17.33,1725
Groppo,Ethiopia,Stratovolcano,11.73,40.25,930
Grozny Group,Kuril Is,Complex volcanoes,45.03,147.92,1211
Guadalupe,Mexico,Shield volcano,29.07,-118.28,1100
Guagua Pichincha,Ecuador,Stratovolcano,-0.17,-78.6,4784
Guallatiri,Chile-N,Stratovolcano,-18.42,-69.09,6071
Guayaques,Chile-N,Lava domes,-22.9,-67.57,5598
Guazapa,El Salvador,Stratovolcano,13.9,-89.12,1438
Gufa,Ethiopia,Volcanic field,12.55,42.53,600
Guguan,Mariana Is-C Pacific,Stratovolcano,17.31,145.85,287
Guntur,Java,Complex volcano,-7.14,107.84,2249
Gunungapi Wetar,Banda Sea,Stratovolcano,-6.64,126.65,282
Hachijo-jima,Izu Is-Japan,Stratovolcanoes,33.13,139.77,854
Hachimantai,Honshu-Japan,Stratovolcano,39.96,140.86,1614
Hainan Dao,SE Asia,Pyroclastic cones,19.7,110.1,
Hakkoda Group,Honshu-Japan,Stratovolcanoes,40.66,140.88,1585
Hakone,Honshu-Japan,Complex volcano,35.23,139.02,1438
Haku-san,Honshu-Japan,Stratovolcano,36.15,136.77,2702
Haleakala,Hawaiian Is,Shield volcano,20.71,-156.25,3055
Halla,Korea,Shield volcano,33.37,126.53,1950
Hanish,Red Sea,Shield volcano,13.72,42.73,422
Hargy,New Britain-SW Pac,Stratovolcano,-5.33,151.1,1148
"Harrah, Al",Arabia-W,Volcanic field,31.08,38.42,1100
Haruj,Africa-N,Volcanic field,27.25,17.5,1200
Haruna,Honshu-Japan,Stratovolcano,36.47,138.88,1449
Hasan Dagi,Turkey,Stratovolcano,38.13,34.17,3253
Haut Dong Nai,SE Asia,Volcanic field,11.6,108.2,1000
Hayes,Alaska-SW,Stratovolcano,61.64,-152.41,3034
"Haylan, Jabal",Arabia-S,Volcanic field,15.43,44.78,1550
Hayli Gubbi,Ethiopia,Shield volcano,13.5,40.72,521
Healy,New Zealand,Submarine volcano,-35,178.97,980
Heard,Indian O.-S,Stratovolcano,-53.11,73.51,2745
Heart Peaks,Canada,Shield volcano,58.6,-131.97,2012
Hekla,Iceland-S,Stratovolcano,63.98,-19.7,1491
Hell's Half Acre,US-Idaho,Shield volcano,43.5,-112.45,1631
Hengill,Iceland-SW,Crater rows,64.18,-21.33,803
Herbert,Aleutian Is,Stratovolcano,52.74,-170.11,1280
Hertali,Ethiopia,Fissure vent,9.78,40.33,900
Hierro,Canary Is,Shield volcano,27.73,-18.03,1500
Hijiori,Honshu-Japan,Caldera,38.61,140.18,516
Hiri,Halmahera-Indonesia,Stratovolcano,0.9,127.32,630
Hiuchi,Honshu-Japan,Stratovolcano,36.95,139.29,2356
Hobicha Caldera,Ethiopia,Caldera,6.78,37.83,1800
Hodson,Antarctica,Stratovolcano,-56.7,-27.15,1005
Hofsj kull,Iceland-SW,Subglacial volcano,64.78,-18.92,1782
Homa Mountain,Africa-E,Complex volcano,-0.38,34.5,1751
Home Reef,Tonga-SW Pacific,Submarine volcano,-18.99,-174.78,-2
Honggeertu,China-E,Cinder cones,41.47,113,1700
Hood,US-Oregon,Stratovolcano,45.37,-121.7,3426
Hoodoo Mountain,Canada,Subglacial volcano,56.78,-131.28,1850
Hornopir n,Chile-S,Stratovolcano,-41.87,-72.43,1572
Hualalai,Hawaiian Is,Shield volcano,19.69,-155.87,2523
Huambo,Peru,Volcanic field,-15.83,-72.13,4550
Huanquihue Group,Argentina,Stratovolcanoes,-39.88,-71.58,2139
Huaynaputina,Peru,Stratovolcano,-16.61,-70.85,4850
Hudson Mountains,Antarctica,Stratovolcanoes,-74.33,-99.42,749
"Hudson, Cerro",Chile-S,Stratovolcano,-45.9,-72.97,1905
Huequi,Chile-S,Stratovolcano,-42.38,-72.58,1318
"Huila, Nevado del",Colombia,Stratovolcano,2.93,-76.03,5364
Hulubelu,Sumatra,Caldera,-5.35,104.6,1040
"Humeros, Los",Mexico,Calderas,19.68,-97.45,3150
Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Submarine volcano,-20.57,-175.38,149
Hunter Island,SW Pacific,Stratovolcano,-22.4,172.05,297
Hutapanjang,Sumatra,Stratovolcano,-2.33,101.6,2021
Hydrographers Range,New Guinea,Stratovolcano,-9,148.37,1915
Iamalele,D'Entrecasteaux Is,Lava domes,-9.52,150.53,200
Ibu,Halmahera-Indonesia,Stratovolcano,1.49,127.63,1325
Ibusuki Volc Field,Kyushu-Japan,Calderas,31.22,130.57,922
Ichinsky,Kamchatka,Stratovolcano,55.68,157.73,3621
Iettunup,Kamchatka,Shield volcanoes,58.4,161.08,1340
Igwisi Hills,Africa-E,Tuff cones,-4.87,31.92,
Ijen,Java,Stratovolcanoes,-8.06,114.24,2799
Iktunup,Kamchatka,Shield volcanoes,58.08,160.77,2300
Iliamna,Alaska-SW,Stratovolcano,60.03,-153.09,3053
Iliboleng,Lesser Sunda Is,Stratovolcano,-8.34,123.26,1659
Ililabalekan,Lesser Sunda Is,Stratovolcano,-8.55,123.38,1018
Ilimuda,Lesser Sunda Is,Stratovolcano,-8.48,122.67,1100
Iliwerung,Lesser Sunda Is,Complex volcano,-8.53,123.57,1018
Illiniza,Ecuador,Stratovolcano,-0.66,-78.71,5248
Ilopango,El Salvador,Caldera,13.67,-89.05,450
Ilyinsky,Kamchatka,Stratovolcano,51.49,157.2,1578
Imbabura,Ecuador,Compound volcano,0.26,-78.18,4609
Imun,Sumatra,Unknown,2.16,98.93,1505
Imuruk Lake,Alaska-W,Shield volcanoes,65.6,-163.92,610
In Ezzane Volc Field,Africa-N,Volcanic field,23,10.83,
"Incahuasi, Nevado de",Chile-N,Stratovolcanoes,-27.04,-68.28,6621
Indian Heaven,US-Washington,Shield volcanoes,45.93,-121.82,1806
Ingakslugwat Hills,Alaska-W,Cinder cones,61.43,-164.47,190
Inielika,Lesser Sunda Is,Complex volcano,-8.73,120.98,1559
Inierie,Lesser Sunda Is,Stratovolcano,-8.88,120.95,2245
Inyo Craters,US-California,Lava domes,37.69,-119.02,2629
Ioto [Iwo-jima],Volcano Is-Japan,Caldera,24.75,141.29,161
Ipala,Guatemala,Stratovolcano,14.55,-89.63,1650
Iraya,Luzon-N of,Stratovolcano,20.47,122.01,1009
Iraz ,Costa Rica,Stratovolcano,9.98,-83.85,3432
Iriga,Luzon-Philippines,Stratovolcano,13.46,123.46,1196
Iriomote-jima,Ryukyu Is,Submarine volcano,24.56,124,-200
Irruputuncu,Chile-N,Stratovolcano,-20.73,-68.55,5163
Isanotski,Aleutian Is,Stratovolcano,54.77,-163.72,2446
Isarog,Luzon-Philippines,Stratovolcano,13.66,123.38,1966
Ischia,Italy,Complex volcano,40.73,13.9,789
Iskut-Unuk River Cones,Canada,Cinder cones,56.58,-130.55,1880
Isluga,Chile-N,Stratovolcano,-19.15,-68.83,5550
Itasy Volc Field,Madagascar,Scoria cones,-19,46.77,1800
"Ithnayn, Harrat",Arabia-W,Volcanic field,26.58,40.2,1625
Ivao Group,Kuril Is,Cinder cones,45.77,149.68,1426
Iwaki,Honshu-Japan,Stratovolcano,40.65,140.31,1625
Iwate,Honshu-Japan,Complex volcano,39.85,141,2041
Iwo-Tori-shima,Ryukyu Is,Complex volcano,27.88,128.22,212
Ixtepeque,Guatemala,Lava domes,14.42,-89.68,1292
Iya,Lesser Sunda Is,Stratovolcano,-8.9,121.65,637
Iyang-Argapura,Java,Complex volcano,-7.97,113.57,3088
Izalco,El Salvador,Stratovolcano,13.81,-89.63,1950
Iztacc huatl,Mexico,Stratovolcano,19.18,-98.64,5230
Izumbwe-Mpoli,Africa-E,Pyroclastic cones,-8.93,33.4,1568
Izu-Tobu,Honshu-Japan,Pyroclastic cones,34.9,139.1,1406
Jailolo,Halmahera-Indonesia,Stratovolcano,1.08,127.42,1130
Jalua,Ethiopia,Stratovolcano,15.04,39.82,713
Jan Mayen,Atlantic-N-Jan Mayen,Stratovolcano,71.08,-8.17,2277
Jaraguay Volc Field,Mexico,Cinder cones,29.33,-114.5,960
"Jayu Khota, Laguna",Bolivia,Maars,-19.45,-67.42,3650
Jefferson,US-Oregon,Stratovolcano,44.67,-121.8,3199
Jingbo,China-E,Volcanic field,44.08,128.83,1000
Jocotitl n,Mexico,Stratovolcano,19.73,-99.76,3900
Jolo,Sulu Is-Philippines,Pyroclastic cones,6.01,121.06,811
Jordan Craters,US-Oregon,Volcanic field,43.15,-117.46,1473
Jumaytepeque,Guatemala,Stratovolcano,14.34,-90.27,1815
Kaba,Sumatra,Stratovolcano,-3.52,102.62,1952
Kabargin Oth Group,Georgia,Cinder cones,42.55,44,3650
Kadovar,New Guinea-NE of,Stratovolcano,-3.63,144.63,365
Kagamil,Aleutian Is,Stratovolcano,52.97,-169.72,893
Kaguyak,Alaska Peninsula,Stratovolcano,58.61,-154.03,901
Kahoollawe,Hawaiian Is,Shield volcanoe,20.6,-156.6,450
Kaikata Seamount,Volcano Is-Japan,Submarine volcano,26.67,141,-162
Kaikohe-Bay of Islands,New Zealand,Volcanic field,-35.3,173.9,388
Kaileney,Kamchatka,Shield volcano,57.8,160.67,1582
Kaitoku Seamount,Volcano Is-Japan,Submarine volcano,26.12,141.1,-103
Kalatungan,Mindanao-Philippines,Stratovolcano,7.95,124.8,2824
Kambalny,Kamchatka,Stratovolcano,51.3,156.87,2156
Kamen,Kamchatka,Stratovolcano,56.02,160.59,4585
Kana Keoki,Solomon Is-SW Pacific,Submarine volcano,-8.75,157.03,-700
Kanaga,Aleutian Is,Stratovolcano,51.92,-177.17,1307
Kanlaon,Philippines-C,Stratovolcano,10.41,123.13,2435
Kanpu,Honshu-Japan,Stratovolcano,39.93,139.88,355
Kao,Tonga-SW Pacific,Stratovolcano,-19.67,-175.03,1030
Karaca Dag,Turkey,Shield volcano,37.67,39.83,1957
"Karaha, Kawah",Java,Fumarole field,-7.12,108.08,1155
Karang,Java,Stratovolcano,-6.27,106.04,1778
Karangetang [Api Siau],Sangihe Is-Indonesia,Stratovolcano,2.78,125.4,1784
Karapinar Field,Turkey,Cinder cones,37.67,33.65,1302
Karisimbi,Africa-C,Stratovolcano,-1.5,29.45,4507
Karkar,New Guinea-NE of,Stratovolcano,-4.65,145.96,1839
Karpinsky Group,Kuril Is,Cones,50.13,155.37,1345
Kars Plateau,Turkey,Volcanic field,40.75,42.9,3000
Karthala,Indian O.-W,Shield volcano,-11.75,43.38,2361
Karymsky,Kamchatka,Stratovolcano,54.05,159.45,1536
Kasatochi,Aleutian Is,Stratovolcano,52.18,-175.51,314
Kasbek,Georgia,Stratovolcano,42.7,44.5,5050
Kasuga,Volcano Is-Japan,Submarine volcano,21.77,143.71,-598
Katla,Iceland-S,Subglacial volcano,63.63,-19.05,1512
Katmai,Alaska Peninsula,Stratovolcano,58.28,-154.96,2047
Katunga,Africa-C,Tuff cone,-0.47,30.19,1707
Katwe-Kikorongo Field,Africa-C,Tuff cones,-0.08,29.92,1067
Kavachi,Solomon Is-SW Pacific,Submarine volcano,-9.02,157.95,-20
Kawi-Butak,Java,Stratovolcanoes,-7.92,112.45,2651
Kebeney,Kamchatka,Shield volcano,57.1,159.93,1527
Kekurny,Kamchatka,Shield volcanoes,56.4,158.85,1377
Kelimutu,Lesser Sunda Is,Complex volcano,-8.77,121.82,1639
Kell,Kamchatka,Stratovolcanoes,51.65,157.35,900
Keluo Group,China-E,Pyroclastic cones,49.37,125.92,670
Kelut,Java,Stratovolcano,-7.93,112.31,1731
Kendang,Java,Stratovolcano,-7.23,107.72,2608
Kerguelen Islands,Indian O.-S,Stratovolcanoes,-49.58,69.5,1840
Kerinci,Sumatra,Stratovolcano,-1.7,101.26,3800
Kerlingarfj ll,Iceland-SW,Stratovolcano,64.63,-19.32,1488
Ketoi,Kuril Is,Stratovolcano,47.35,152.48,1172
Khangar,Kamchatka,Stratovolcano,54.75,157.38,2000
Khanuy Gol,Mongolia,Volcanic field,48.67,102.75,1886
Kharimkotan,Kuril Is,Stratovolcano,49.12,154.51,1145
"Khaybar, Harrat",Arabia-W,Volcanic field,25,39.92,2093
Khodutka,Kamchatka,Stratovolcanoes,52.06,157.7,2090
Kialagvik,Alaska Peninsula,Stratovolcano,57.2,-156.75,1677
Kick 'em Jenny,W Indies,Submarine volcano,12.3,-61.64,-185
Kieyo,Africa-E,Stratovolcano,-9.23,33.78,2175
Kikai,Ryukyu Is,Caldera,30.79,130.31,704
Kikhpinych,Kamchatka,Stratovolcanoes,54.49,160.25,1552
Kilauea,Hawaiian Is,Shield volcano,19.42,-155.29,1222
Kilimanjaro,Africa-E,Stratovolcano,-3.07,37.35,5895
Kinenin,Kamchatka,Maar,57.35,160.97,583
Kirishima,Kyushu-Japan,Shield volcano,31.93,130.86,1700
"Kishb, Harrat",Arabia-W,Volcanic field,22.8,41.38,1475
Kiska,Aleutian Is,Stratovolcano,52.1,177.6,1220
Kita-Fukutokutai,Volcano Is-Japan,Submarine volcano,24.41,141.42,-73
Kita-Iwo-jima,Volcano Is-Japan,Stratovolcano,25.42,141.28,792
Kizimen,Kamchatka,Stratovolcano,55.13,160.32,2376
Klabat,Sulawesi-Indonesia,Stratovolcano,1.47,125.03,1995
Kliuchevskoi,Kamchatka,Stratovolcano,56.06,160.64,4835
Kogaja-jima,Ryukyu Is,Lava domes,29.88,129.63,301
Kohala,Hawaiian Is,Shield volcano,20.12,-155.7,1700
Kolbeinsey Ridge,Iceland-N of,Submarine volcano,66.67,-18.5,5
Kolokol Group,Kuril Is,Somma volcanoes,46.04,150.05,1328
Komaga-take,Hokkaido-Japan,Stratovolcano,42.06,140.68,1131
Komarov,Kamchatka,Stratovolcano,55.03,160.72,2070
Kone,Ethiopia,Calderas,8.8,39.69,1619
Koniuji,Aleutian Is,Stratovolcano,52.22,-175.13,273
Kookooligit Mountains,Alaska-W,Shield volcano,63.6,-170.43,673
Koranga,New Guinea,Maar,-7.33,146.71,1500
Korath Range,Ethiopia,Tuff cones,5.1,35.88,912
Koro,Fiji Is-SW Pacific,Cinder cones,-17.32,179.4,522
Korosi,Africa-E,Shield volcano,0.77,36.12,1446
Koryaksky,Kamchatka,Stratovolcano,53.32,158.69,3456
Koshelev,Kamchatka,Stratovolcano,51.36,156.75,1812
Kostakan,Kamchatka,Cinder cones,53.83,158.05,1150
"Koussi, Emi",Africa-N,Pyroclastic shield,19.8,18.53,3415
Kozu-shima,Izu Is-Japan,Lava domes,34.22,139.16,572
Kozyrevsky,Kamchatka,Shield volcano,55.58,158.38,2016
Krafla,Iceland-NE,Caldera,65.73,-16.78,650
Krainy,Kamchatka,Shield volcano,56.37,159.03,1554
Krakatau,Indonesia,Caldera,-6.1,105.42,813
Krasheninnikov,Kamchatka,Caldera,54.59,160.27,1856
Kr suv k,Iceland-SW,Crater rows,63.93,-22.1,379
Kronotsky,Kamchatka,Stratovolcano,54.75,160.53,3528
Ksudach,Kamchatka,Stratovolcano,51.8,157.53,1079
Kuchinoerabu-jima,Ryukyu Is,Stratovolcanoes,30.44,130.22,657
Kuchino-shima,Ryukyu Is,Stratovolcanoes,29.96,129.93,628
Kueishantao,Taiwan-E of,Stratovolcano,24.85,121.92,401
Kuju,Kyushu-Japan,Stratovolcanoes,33.08,131.25,1791
Kukak,Alaska Peninsula,Stratovolcano,58.45,-154.36,2043
Kula,Turkey,Cinder cones,38.58,28.52,750
Kulkev,Kamchatka,Shield volcano,56.37,158.37,915
Kunlun Volc Group,China-W,Pyroclastic cones,35.52,80.2,5808
Kunyit,Sumatra,Stratovolcano,-2.27,101.48,2151
Kupreanof,Alaska Peninsula,Stratovolcano,56.01,-159.8,1895
Kurikoma,Honshu-Japan,Stratovolcano,38.96,140.79,1628
Kurile Lake,Kamchatka,Caldera,51.45,157.12,81
Kurose Hole,Izu Is-Japan,Submarine volcano,33.4,139.68,-107
Kurub,Ethiopia,Shield volcano,11.88,41.21,625
Kusatsu-Shirane,Honshu-Japan,Stratovolcanoes,36.62,138.54,2171
Kutcharo,Hokkaido-Japan,Caldera,43.61,144.44,999
Kuttara,Hokkaido-Japan,Stratovolcanoes,42.49,141.16,581
Kutum Volc Field,Africa-N,Scoria cones,14.57,25.85,
Kuwae,Vanuatu-SW Pacific,Caldera,-16.83,168.54,-2
Kverkfj ll,Iceland-NE,Stratovolcano,64.65,-16.72,1920
Kyatwa Volc Field,Africa-C,Tuff cones,0.45,30.25,1430
La Palma,Canary Is,Stratovolcanoes,28.57,-17.83,2426
Laguna Caldera,Luzon-Philippines,Caldera,14.42,121.27,743
"Lajas, Las",Nicaragua,Shield volcano,12.3,-85.73,926
Lamington,New Guinea,Stratovolcano,-8.95,148.15,1680
Lamongan,Java,Stratovolcano,-7.98,113.34,1651
Langila,New Britain-SW Pac,Complex volcano,-5.53,148.42,1330
Langj kull,Iceland-SW,Stratovolcano,64.75,-19.98,1360
Lan n,Chile-C,Stratovolcano,-39.63,-71.5,3747
Lanzarote,Canary Is,Fissure vents,29.03,-13.63,670
Larderello,Italy,Explosion craters,43.25,10.87,500
L scar,Chile-N,Stratovolcanoes,-23.37,-67.73,5592
Lassen Volc Center,US-California,Stratovolcano,40.49,-121.51,3187
Lastarria,Chile-N,Stratovolcano,-25.17,-68.5,5697
Late,Tonga-SW Pacific,Stratovolcano,-18.81,-174.65,540
Latukan,Mindanao-Philippines,Stratovolcano,7.65,124.45,2338
Lautaro,Chile-S,Stratovolcano,-49.02,-73.55,3607
Lavic Lake,US-California,Volcanic field,34.75,-116.63,1495
Lawu,Java,Stratovolcano,-7.63,111.19,3265
Leizhou Bandao,SE Asia,Volcanic field,20.78,110.17,259
"Lengai, Ol Doinyo",Africa-E,Stratovolcano,-2.76,35.91,2962
Leonard Range,Mindanao-Philippines,Stratovolcano,7.38,126.05,1080
Leroboleng,Lesser Sunda Is,Complex volcano,-8.36,122.84,1117
Leskov Island,Antarctica,Stratovolcano,-56.67,-28.13,190
Leutongey,Kamchatka,Shield volcano,57.3,159.83,1333
Level Mountain,Canada,Shield volcano,58.42,-131.35,2190
Lewotobi,Lesser Sunda Is,Stratovolcanoes,-8.54,122.78,1703
Lewotolo,Lesser Sunda Is,Stratovolcano,-8.27,123.51,1423
Liado Hayk,Ethiopia,Maars,9.57,40.28,878
Liamuiga,W Indies,Stratovolcano,17.37,-62.8,1156
Licancabur,Chile-N,Stratovolcano,-22.83,-67.88,5916
Licto,Ecuador,Scoria cones,-1.78,-78.61,3336
Lihir,New Ireland-SW Pacific,Volcanic complex,-3.13,152.64,700
Lipari,Italy,Stratovolcanoes,38.48,14.95,602
Little Sitkin,Aleutian Is,Stratovolcano,51.95,178.54,1174
Lj sufj ll,Iceland-W,Fissure vents,64.87,-22.23,988
Llaima,Chile-C,Stratovolcano,-38.69,-71.73,3125
Llullaillaco,Chile-N,Stratovolcano,-24.72,-68.53,6739
Loihi,Hawaiian Is,Submarine volcano,18.92,-155.27,-975
Loki-F grufj ll,Iceland-NE,Subglacial volcano,64.48,-17.8,1570
Lokon-Empung,Sulawesi-Indonesia,Stratovolcano,1.36,124.79,1580
Lolo,New Britain-SW Pac,Stratovolcano,-5.47,150.51,805
Lolobau,New Britain-SW Pac,Caldera,-4.92,151.16,858
Loloru,Bougainville-SW Pacific,Pyroclastic shield,-6.52,155.62,1887
Lomonosov Group,Kuril Is,Cinder cones,50.25,155.43,1681
Long Island,New Guinea-NE of,Complex volcano,-5.36,147.12,1280
"Longav , Nevado de",Chile-C,Stratovolcano,-36.19,-71.16,3242
Longgang Group,China-E,Cinder cones,42.33,126.5,1000
Longonot,Africa-E,Stratovolcano,-0.91,36.45,2776
Lonquimay,Chile-C,Stratovolcano,-38.38,-71.58,2865
Lopevi,Vanuatu-SW Pacific,Stratovolcano,-16.51,168.35,1413
Lower Chindwin,SE Asia,Volcanic field,22.28,95.1,385
Lubukraya,Sumatra,Stratovolcano,1.48,99.21,1862
"Lumut Balai, Bukit",Sumatra,Stratovolcano ?,-4.22,103.62,2055
"Lunayyir, Harrat",Arabia-W,Volcanic field,25.17,37.75,1370
Lurus,Java,Complex volcano,-7.73,113.58,539
Lvinaya Past,Kuril Is,Stratovolcano,44.61,146.99,528
Lysuh ll,Iceland-W,Pyroclastic cones,64.87,-23.25,540
Ma Alalta,Ethiopia,Stratovolcano,13.02,40.2,1815
Maca,Chile-S,Stratovolcano,-45.1,-73.17,2960
Macauley Island,Kermadec Is,Caldera,-30.2,-178.47,238
Macdonald,Austral Is-C Pacific,Submarine volcano,-28.98,-140.25,-39
Mach n,Colombia,Stratovolcano,4.48,-75.39,2650
Madeira,Azores,Shield volcano,32.73,-16.97,1862
Maderas,Nicaragua,Stratovolcano,11.45,-85.52,1394
Madilogo,New Guinea,Pyroclastic cone,-9.2,147.57,850
Mageik,Alaska Peninsula,Stratovolcano,58.2,-155.25,2165
Mahagnao,Philippines-C,Stratovolcano,10.9,125.87,860
Mahawu,Sulawesi-Indonesia,Stratovolcano,1.36,124.86,1324
Maipo,Chile-C,Caldera,-34.16,-69.83,5264
Makaturing,Mindanao-Philippines,Stratovolcano,7.65,124.32,1940
Makian,Halmahera-Indonesia,Stratovolcano,0.32,127.4,1357
Makushin,Aleutian Is,Stratovolcano,53.89,-166.92,1800
Malabar,Java,Stratovolcano,-7.13,107.65,2343
